Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
374,Jerry Stackhouse,SG,35,MIL,42,0,855,129,316,0.408,45,130,0.346,84,186,0.452,0.479,55,69,0.797,19,81,100,70,21,9,66,56,358
375,DeShawn Stevenson,SG,28,TOT,64,18,883,46,163,0.282,19,87,0.218,27,76,0.355,0.34,25,35,0.714,11,80,91,56,16,6,30,74,136
375,DeShawn Stevenson,SG,28,WAS,40,13,616,29,103,0.282,11,62,0.177,18,41,0.439,0.335,18,25,0.72,7,58,65,44,11,5,24,51,87
375,DeShawn Stevenson,SG,28,DAL,24,5,267,17,60,0.283,8,25,0.32,9,35,0.257,0.35,7,10,0.7,4,22,26,12,5,1,6,23,49
376,Peja Stojakovic,SF,32,NOH,62,55,1947,278,688,0.404,132,352,0.375,146,336,0.435,0.5,96,107,0.897,39,188,227,92,48,5,56,83,784
377,Amar'e Stoudemire,PF,27,PHO,82,82,2838,704,1264,0.557,1,6,0.167,703,1258,0.559,0.557,487,632,0.771,230,502,732,82,52,83,213,281,1896
378,Rodney Stuckey,PG,23,DET,73,67,2499,449,1109,0.405,18,79,0.228,431,1030,0.418,0.413,299,359,0.833,67,214,281,348,101,12,163,205,1215
379,DaJuan Summers,SF,22,DET,44,0,405,46,130,0.354,15,42,0.357,31,88,0.352,0.412,27,38,0.711,14,31,45,16,8,7,16,52,134
380,Jermaine Taylor,SG,23,HOU,31,4,303,45,119,0.378,5,22,0.227,40,97,0.412,0.399,33,46,0.717,21,25,46,16,10,3,19,15,128
381,Jeff Teague,PG,21,ATL,71,3,719,90,227,0.396,7,32,0.219,83,195,0.426,0.412,41,49,0.837,5,62,67,122,34,11,50,82,228
382,Sebastian Telfair,PG,24,TOT,43,1,659,83,201,0.413,13,56,0.232,70,145,0.483,0.445,29,37,0.784,5,40,45,126,24,5,50,71,208
382,Sebastian Telfair,PG,24,LAC,39,1,582,67,166,0.404,11,47,0.234,56,119,0.471,0.437,24,31,0.774,5,36,41,114,22,5,44,65,169
382,Sebastian Telfair,PG,24,CLE,4,0,77,16,35,0.457,2,9,0.222,14,26,0.538,0.486,5,6,0.833,0,4,4,12,2,0,6,6,39
383,Garrett Temple,SG,23,TOT,27,4,334,44,101,0.436,13,37,0.351,31,64,0.484,0.5,35,50,0.7,6,25,31,21,13,6,27,42,136
383,Garrett Temple,SG,23,HOU,9,0,118,13,29,0.448,3,12,0.25,10,17,0.588,0.5,16,24,0.667,2,12,14,7,4,4,14,16,45
383,Garrett Temple,SG,23,SAC,5,0,23,3,8,0.375,0,2,0,3,6,0.5,0.375,5,5,1,1,2,3,2,1,0,2,1,11
383,Garrett Temple,SG,23,SAS,13,4,193,28,64,0.438,10,23,0.435,18,41,0.439,0.516,14,21,0.667,3,11,14,12,8,2,11,25,80
384,Jason Terry,SG,32,DAL,77,12,2540,456,1041,0.438,136,373,0.365,320,668,0.479,0.503,232,268,0.866,19,121,140,292,94,17,109,142,1280
385,Hasheem Thabeet,C,22,MEM,68,13,883,77,131,0.588,0,0,,77,131,0.588,0.588,54,93,0.581,85,158,243,11,15,89,43,162,208
386,Etan Thomas,C,31,OKC,23,1,321,31,68,0.456,0,0,,31,68,0.456,0.456,13,22,0.591,18,46,64,1,4,16,18,39,75
387,Kenny Thomas,PF,32,SAC,26,2,313,17,35,0.486,0,0,,17,35,0.486,0.486,7,12,0.583,35,51,86,15,10,10,17,42,41
388,Kurt Thomas,C,37,MIL,70,9,1049,99,208,0.476,0,0,,99,208,0.476,0.476,12,15,0.8,84,207,291,47,26,46,48,159,210
389,Tim Thomas,SF,32,DAL,18,1,285,49,106,0.462,16,43,0.372,33,63,0.524,0.538,21,24,0.875,13,28,41,14,10,2,14,31,135
390,Tyrus Thomas,PF-C,23,TOT,54,3,1220,194,420,0.462,0,3,0,194,417,0.465,0.462,120,175,0.686,81,254,335,56,63,85,92,129,508
390,Tyrus Thomas,PF,23,CHI,29,3,678,99,205,0.483,0,1,0,99,204,0.485,0.483,58,90,0.644,42,141,183,33,40,48,52,64,256
390,Tyrus Thomas,C,23,CHA,25,0,542,95,215,0.442,0,2,0,95,213,0.446,0.442,62,85,0.729,39,113,152,23,23,37,40,65,252
391,Jason Thompson,C,23,SAC,75,58,2357,370,784,0.472,1,10,0.1,369,774,0.477,0.473,198,277,0.715,224,413,637,124,41,73,139,279,939
392,Al Thornton,SF,26,TOT,75,46,2079,320,676,0.473,11,31,0.355,309,645,0.479,0.482,153,211,0.725,116,178,294,90,45,35,102,206,804
392,Al Thornton,SF,26,LAC,51,30,1405,220,460,0.478,5,14,0.357,215,446,0.482,0.484,103,139,0.741,85,107,192,61,25,22,66,144,548
392,Al Thornton,SF,26,WAS,24,16,674,100,216,0.463,6,17,0.353,94,199,0.472,0.477,50,72,0.694,31,71,102,29,20,13,36,62,256
393,Marcus Thornton,SG,22,NOH,73,17,1872,398,883,0.451,117,313,0.374,281,570,0.493,0.517,144,177,0.814,72,139,211,114,58,11,76,127,1057
394,Jamaal Tinsley,PG,31,MEM,38,1,589,52,140,0.371,7,39,0.179,45,101,0.446,0.396,22,27,0.815,11,55,66,108,33,5,63,67,133
395,Anthony Tolliver,PF,24,TOT,46,29,1427,193,449,0.43,50,152,0.329,143,297,0.481,0.486,103,134,0.769,84,236,320,87,32,33,46,128,539
395,Anthony Tolliver,PF,24,POR,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,1,0
395,Anthony Tolliver,PF,24,GSW,44,29,1423,193,448,0.431,50,151,0.331,143,297,0.481,0.487,103,134,0.769,84,235,319,87,32,33,46,127,539
396,Alando Tucker,SF,25,TOT,15,0,96,17,39,0.436,1,7,0.143,16,32,0.5,0.449,16,21,0.762,6,4,10,4,0,0,5,6,51
396,Alando Tucker,SF,25,PHO,11,0,71,13,30,0.433,1,7,0.143,12,23,0.522,0.45,16,21,0.762,5,2,7,3,0,0,4,5,43
396,Alando Tucker,SF,25,MIN,4,0,25,4,9,0.444,0,0,,4,9,0.444,0.444,0,0,,1,2,3,1,0,0,1,1,8
397,Ronny Turiaf,C,27,GSW,42,20,872,85,146,0.582,0,1,0,85,145,0.586,0.582,37,78,0.474,54,137,191,90,23,54,49,98,207
398,Hedo Turkoglu,SF,30,TOR,74,69,2272,276,674,0.409,108,289,0.374,168,385,0.436,0.49,175,226,0.774,42,301,343,304,55,32,125,220,835
399,Ime Udoka,SG,32,SAC,69,2,944,91,241,0.378,26,91,0.286,65,150,0.433,0.432,42,57,0.737,51,140,191,58,34,6,42,83,250
400,Beno Udrih,PG,27,SAC,79,41,2477,415,841,0.493,75,199,0.377,340,642,0.53,0.538,118,141,0.837,38,181,219,372,89,10,136,166,1023
401,Roko Ukic,PG,25,MIL,13,0,97,14,30,0.467,3,12,0.25,11,18,0.611,0.517,9,11,0.818,0,3,3,12,1,0,6,6,40
402,Anderson Varejao,PF,27,CLE,76,7,2166,267,467,0.572,1,5,0.2,266,462,0.576,0.573,116,175,0.663,189,389,578,87,71,67,67,223,651
403,Charlie Villanueva,PF,25,DET,78,16,1848,363,827,0.439,99,282,0.351,264,545,0.484,0.499,106,130,0.815,85,280,365,53,48,55,74,223,931
404,Sasha Vujacic,SG,25,LAL,67,1,575,66,164,0.402,25,81,0.309,41,83,0.494,0.479,28,33,0.848,25,54,79,41,20,4,17,67,185
405,Dwyane Wade,SG,28,MIA,77,77,2792,719,1511,0.476,73,243,0.3,646,1268,0.509,0.5,534,702,0.761,107,266,373,501,142,82,252,181,2045
406,Bill Walker,SG-SF,22,TOT,35,13,768,120,232,0.517,50,116,0.431,70,116,0.603,0.625,39,49,0.796,15,73,88,40,23,3,28,83,329
406,Bill Walker,SF,22,BOS,8,0,29,3,6,0.5,0,0,,3,6,0.5,0.5,2,2,1,0,5,5,3,0,0,2,4,8
406,Bill Walker,SG,22,NYK,27,13,739,117,226,0.518,50,116,0.431,67,110,0.609,0.628,37,47,0.787,15,68,83,37,23,3,26,79,321
407,Ben Wallace,C,35,DET,69,67,1975,158,292,0.541,0,2,0,158,290,0.545,0.541,65,160,0.406,245,352,597,105,86,84,64,131,381
408,Gerald Wallace,SF,27,CHA,76,76,3119,456,943,0.484,52,140,0.371,404,803,0.503,0.511,422,544,0.776,150,612,762,161,117,83,178,194,1386
409,Rasheed Wallace,C,35,BOS,79,13,1780,266,650,0.409,82,290,0.283,184,360,0.511,0.472,96,125,0.768,42,283,325,80,80,70,63,222,710
410,Luke Walton,SF,29,LAL,29,0,272,30,84,0.357,7,17,0.412,23,67,0.343,0.399,2,4,0.5,12,26,38,40,10,1,12,19,69
411,Hakim Warrick,PF,27,TOT,76,6,1557,265,550,0.482,1,7,0.143,264,543,0.486,0.483,202,274,0.737,127,187,314,52,24,18,80,126,733
411,Hakim Warrick,PF,27,MIL,48,6,1024,182,378,0.481,1,6,0.167,181,372,0.487,0.483,125,172,0.727,87,125,212,35,17,10,57,83,490
411,Hakim Warrick,PF,27,CHI,28,0,533,83,172,0.483,0,1,0,83,171,0.485,0.483,77,102,0.755,40,62,102,17,7,8,23,43,243
412,C.J. Watson,PG,25,GSW,65,15,1788,247,528,0.468,45,145,0.31,202,383,0.527,0.51,128,166,0.771,28,141,169,180,103,8,69,124,667
413,Earl Watson,PG,30,IND,79,52,2322,223,524,0.426,53,184,0.288,170,340,0.5,0.476,120,169,0.71,54,186,240,399,104,16,175,181,619
414,Kyle Weaver,SG,23,OKC,12,0,144,12,33,0.364,7,19,0.368,5,14,0.357,0.47,5,6,0.833,1,17,18,11,6,6,4,13,36
415,Martell Webster,SF,23,POR,82,49,2005,259,639,0.405,124,332,0.373,135,307,0.44,0.502,126,155,0.813,47,221,268,62,45,40,60,153,768
416,Sonny Weems,SG,23,TOR,69,19,1368,236,458,0.515,2,15,0.133,234,443,0.528,0.517,44,64,0.688,42,150,192,101,39,25,65,126,518
417,David West,PF,29,NOH,81,81,2949,619,1226,0.505,7,27,0.259,612,1199,0.51,0.508,296,342,0.865,164,441,605,239,76,60,173,233,1541
418,Delonte West,SG,26,CLE,60,3,1500,194,436,0.445,25,77,0.325,169,359,0.471,0.474,115,142,0.81,29,140,169,196,55,28,90,86,528
419,Mario West,SG,25,ATL,39,1,142,12,21,0.571,0,1,0,12,20,0.6,0.571,6,10,0.6,8,19,27,9,8,0,7,25,30
420,Russell Westbrook,PG,21,OKC,82,82,2813,485,1160,0.418,23,104,0.221,462,1056,0.438,0.428,329,422,0.78,143,258,401,652,108,34,268,204,1322
421,D.J. White,PF,23,OKC,12,0,102,25,41,0.61,0,0,,25,41,0.61,0.61,9,10,0.9,10,13,23,4,5,3,3,12,59
422,Chris Wilcox,PF,27,DET,34,10,441,63,120,0.525,0,0,,63,120,0.525,0.525,26,52,0.5,44,73,117,13,13,12,38,64,152
423,Damien Wilkins,SF,30,MIN,80,31,1585,165,381,0.433,18,61,0.295,147,320,0.459,0.457,103,129,0.798,72,177,249,135,66,25,76,144,451
424,Mike Wilks,PG,30,OKC,4,0,59,6,12,0.5,2,3,0.667,4,9,0.444,0.583,2,4,0.5,1,3,4,4,0,0,4,5,16
425,Deron Williams,PG,25,UTA,76,76,2802,494,1053,0.469,96,259,0.371,398,794,0.501,0.515,335,418,0.801,50,253,303,798,96,16,252,208,1419
426,Jason Williams,PG,34,ORL,82,18,1703,189,426,0.444,84,221,0.38,105,205,0.512,0.542,31,41,0.756,7,119,126,298,53,3,87,65,493
427,Jawad Williams,PG,26,CLE,54,6,742,81,206,0.393,30,93,0.323,51,113,0.451,0.466,32,45,0.711,16,67,83,34,12,5,18,73,224
428,Louis Williams,PG,23,PHI,64,38,1912,318,677,0.47,70,206,0.34,248,471,0.527,0.521,192,233,0.824,25,162,187,268,80,15,106,110,898
429,Marcus Williams,PG,24,MEM,62,1,872,104,271,0.384,24,81,0.296,80,190,0.421,0.428,37,55,0.673,13,80,93,161,32,1,74,43,269
430,Marvin Williams,SF,23,ATL,81,81,2468,302,664,0.455,40,132,0.303,262,532,0.492,0.485,176,215,0.819,106,310,416,93,66,46,72,160,820
431,Mo Williams,PG,27,CLE,69,68,2359,378,855,0.442,159,371,0.429,219,484,0.452,0.535,177,198,0.894,28,178,206,368,70,21,173,170,1092
432,Reggie Williams,PF,23,GSW,24,10,782,140,283,0.495,33,92,0.359,107,191,0.56,0.553,52,62,0.839,18,92,110,66,23,6,29,49,365
433,Sean Williams,PF,23,NJN,20,0,227,21,49,0.429,0,1,0,21,48,0.438,0.429,10,19,0.526,21,25,46,1,8,19,20,41,52
434,Shelden Williams,PF,26,BOS,54,0,597,63,121,0.521,0,1,0,63,120,0.525,0.521,75,98,0.765,47,99,146,21,13,21,30,85,201
435,Terrence Williams,SF,22,NJN,78,9,1764,261,651,0.401,31,100,0.31,230,551,0.417,0.425,103,144,0.715,46,302,348,223,43,10,124,126,656
436,Metta World Peace,SF,30,LAL,77,77,2605,306,740,0.414,105,296,0.355,201,444,0.453,0.484,128,186,0.688,99,232,331,234,106,21,121,165,845
437,Antoine Wright,SF,25,TOR,67,10,1392,162,399,0.406,58,173,0.335,104,226,0.46,0.479,53,77,0.688,38,152,190,71,30,11,58,134,435
438,Dorell Wright,SF,24,MIA,72,1,1496,194,419,0.463,61,157,0.389,133,262,0.508,0.536,61,69,0.884,50,185,235,91,52,32,53,94,510
439,Julian Wright,SF,22,NOH,68,14,871,116,232,0.5,2,6,0.333,114,226,0.504,0.504,25,41,0.61,58,86,144,41,29,18,44,45,259
440,Nick Young,SG,24,WAS,74,23,1421,233,558,0.418,69,170,0.406,164,388,0.423,0.479,104,130,0.8,20,82,102,48,28,8,56,147,639
441,Sam Young,SF,24,MEM,80,1,1321,224,497,0.451,11,56,0.196,213,441,0.483,0.462,136,175,0.777,77,124,201,52,34,20,94,106,595
442,Thaddeus Young,PF,21,PHI,67,45,2145,382,813,0.47,48,138,0.348,334,675,0.495,0.499,114,165,0.691,130,220,350,97,81,15,126,133,926
