Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
352,Sergio Rodriguez,PG,23,SAC,39,0,517,88,190,0.463,15,42,0.357,73,148,0.493,0.503,43,62,0.694,15,35,50,121,29,3,59,46,234
352,Sergio Rodriguez,PG,23,NYK,27,8,531,79,161,0.491,17,49,0.347,62,112,0.554,0.543,25,31,0.806,9,30,39,91,21,2,55,38,200
353,Rajon Rondo,PG,23,BOS,81,81,2963,459,904,0.508,17,80,0.213,442,824,0.536,0.517,175,282,0.621,100,260,360,794,189,11,246,198,1110
354,Derrick Rose,PG,21,CHI,78,78,2871,672,1373,0.489,16,60,0.267,656,1313,0.5,0.495,259,338,0.766,65,228,293,469,57,27,217,96,1619
355,Quinton Ross,SF-SG,28,TOT,52,7,562,40,111,0.36,4,21,0.19,36,90,0.4,0.378,8,14,0.571,17,32,49,12,13,6,11,69,92
355,Quinton Ross,SF,28,DAL,27,7,301,23,56,0.411,3,13,0.231,20,43,0.465,0.438,5,8,0.625,11,16,27,7,7,4,3,34,54
355,Quinton Ross,SG,28,WAS,25,0,261,17,55,0.309,1,8,0.125,16,47,0.34,0.318,3,6,0.5,6,16,22,5,6,2,8,35,38
356,Brandon Roy,SG,25,POR,65,65,2419,491,1038,0.473,73,221,0.33,418,817,0.512,0.508,343,440,0.78,73,212,285,305,61,16,129,136,1398
357,Brandon Rush,SG,24,IND,82,64,2491,297,702,0.423,124,302,0.411,173,400,0.433,0.511,56,89,0.629,41,305,346,112,56,65,93,159,774
358,Kareem Rush,SG,29,LAC,7,0,58,4,11,0.364,1,3,0.333,3,8,0.375,0.409,0,0,,1,5,6,4,2,3,3,8,9
359,John Salmons,SG,30,TOT,81,56,2824,437,991,0.441,118,309,0.382,319,682,0.468,0.501,253,305,0.83,35,235,270,223,99,26,123,166,1245
359,John Salmons,SG,30,CHI,51,28,1695,230,548,0.42,73,192,0.38,157,356,0.441,0.486,116,147,0.789,18,156,174,125,65,22,70,101,649
359,John Salmons,SG,30,MIL,30,28,1129,207,443,0.467,45,117,0.385,162,326,0.497,0.518,137,158,0.867,17,79,96,98,34,4,53,65,596
360,Brian Scalabrine,PF,31,BOS,52,3,472,29,85,0.341,16,49,0.327,13,36,0.361,0.435,4,6,0.667,9,39,48,27,9,4,17,59,78
361,Luis Scola,PF,29,HOU,82,82,2671,560,1090,0.514,1,5,0.2,559,1085,0.515,0.514,208,267,0.779,175,530,705,169,63,26,163,246,1329
362,Thabo Sefolosha,SG,25,OKC,82,82,2348,194,441,0.44,41,131,0.313,153,310,0.494,0.486,60,89,0.674,76,311,387,145,97,46,90,154,489
363,Ramon Sessions,PG,23,MIN,82,1,1732,253,555,0.456,1,15,0.067,252,540,0.467,0.457,167,233,0.717,58,156,214,258,55,5,137,137,674
364,Bobby Simmons,PF,29,NJN,23,2,395,42,117,0.359,20,63,0.317,22,54,0.407,0.444,18,20,0.9,11,52,63,15,15,3,19,52,122
365,James Singleton,PF-SF,28,TOT,57,3,977,97,254,0.382,7,37,0.189,90,217,0.415,0.396,53,62,0.855,108,168,276,31,28,43,49,113,254
365,James Singleton,SF,28,DAL,25,0,211,24,64,0.375,5,22,0.227,19,42,0.452,0.414,6,6,1,17,38,55,9,11,7,12,31,59
365,James Singleton,PF,28,WAS,32,3,766,73,190,0.384,2,15,0.133,71,175,0.406,0.389,47,56,0.839,91,130,221,22,17,36,37,82,195
366,Brian Skinner,PF,33,LAC,16,1,123,10,25,0.4,0,0,,10,25,0.4,0.4,6,8,0.75,9,18,27,0,3,4,7,20,26
367,Craig Smith,PF,26,LAC,75,2,1232,226,397,0.569,1,5,0.2,225,392,0.574,0.571,132,208,0.635,97,190,287,84,33,25,88,194,585
368,J.R. Smith,SG,24,DEN,75,0,2082,428,1033,0.414,158,467,0.338,270,566,0.477,0.491,142,201,0.706,28,206,234,183,99,20,139,174,1156
369,Jason Smith,PF,23,PHI,56,2,658,75,174,0.431,10,29,0.345,65,145,0.448,0.46,29,42,0.69,54,81,135,33,21,28,35,110,189
370,Joe Smith,PF,34,ATL,64,1,592,77,193,0.399,1,7,0.143,76,186,0.409,0.402,39,48,0.813,66,91,157,21,6,19,22,95,194
371,Josh Smith,PF,24,ATL,81,81,2871,504,999,0.505,0,7,0,504,992,0.508,0.505,261,422,0.618,223,482,705,342,130,172,198,240,1269
372,Darius Songaila,C,31,NOH,75,1,1410,241,488,0.494,1,6,0.167,240,482,0.498,0.495,60,74,0.811,59,173,232,70,62,14,81,206,543
373,Marreese Speights,C,22,PHI,62,1,1016,212,444,0.477,0,5,0,212,439,0.483,0.477,108,145,0.745,85,167,252,36,29,34,51,152,532
